comparison,variant,checkpoint_path,output_path,dataset_path,eval_corpus,n_samples,Token_F1,Token_F1_sd,ROUGE_L_F1,ROUGE_L_F1_sd,BERTScore_P,BERTScore_R,BERTScore_F1,BERTScore_F1_sd,bertscore_model,bertscore_batch_size,bertscore_lang,bertscore_rescale_with_baseline
bm25rerun_ca_ca,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\training_metrics\all_off.csv,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,50,56.22,13.27,46.99,14.33,54.14,44.77,48.82,13.78,microsoft/deberta-xlarge-mnli,32,en,True
bm25rerun_ca_ca,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\training_metrics\baseline_all_on.csv,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,50,58.73,15.58,53.2,18.2,64.14,47.2,54.77,14.72,microsoft/deberta-xlarge-mnli,32,en,True
bm25rerun_es,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\training_metrics\all_off.csv,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,50,59.46,14.9,52.63,16.86,56.71,50.72,52.97,18.16,microsoft/deberta-xlarge-mnli,32,en,True
bm25rerun_es,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\training_metrics\baseline_all_on.csv,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,50,62.09,15.1,55.18,18.19,61.81,51.47,55.89,17.19,microsoft/deberta-xlarge-mnli,32,en,True
bm25rerun_ragbench_dev,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ragbench_dev\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ragbench_dev\training_metrics\all_off.csv,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\ragbench\dev_frozen\dataset_ragbench_text_10p_5q_dev10_frozen.json,en,50,22.62,23.33,20.07,23.13,-11.99,47.01,6.88,31.67,microsoft/deberta-xlarge-mnli,32,en,True
bm25rerun_ragbench_dev,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ragbench_dev\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ragbench_dev\training_metrics\baseline_all_on.csv,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\ragbench\dev_frozen\dataset_ragbench_text_10p_5q_dev10_frozen.json,en,50,27.24,21.71,24.54,20.74,-2.56,53.59,15.83,28.83,microsoft/deberta-xlarge-mnli,32,en,True
bm25rerun_ragbench_eval,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ragbench_eval\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ragbench_eval\training_metrics\all_off.csv,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\ragbench\en_eval\dataset_ragbench_en_eval_text_40p_5q_eval.json,en,200,27.34,18.26,24.29,17.61,-3.06,45.82,14.54,25.78,microsoft/deberta-xlarge-mnli,32,en,True
bm25rerun_ragbench_eval,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ragbench_eval\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ragbench_eval\training_metrics\baseline_all_on.csv,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\ragbench\en_eval\dataset_ragbench_en_eval_text_40p_5q_eval.json,en,200,37.25,23.9,33.85,23.72,11.74,56.37,27.69,31.03,microsoft/deberta-xlarge-mnli,32,en,True
bm25rerun_ragbench_visual,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ragbench_visual\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ragbench_visual\training_metrics\all_off.csv,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\ragbench\visual\dataset_ragbench_visual_image_table_25p_5q.json,en,125,20.58,10.63,15.96,8.9,-4.53,29.29,9.64,17.04,microsoft/deberta-xlarge-mnli,32,en,True
bm25rerun_ragbench_visual,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ragbench_visual\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ragbench_visual\training_metrics\baseline_all_on.csv,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\ragbench\visual\dataset_ragbench_visual_image_table_25p_5q.json,en,125,23.35,13.55,18.95,13.21,1.05,31.51,13.67,19.31,microsoft/deberta-xlarge-mnli,32,en,True
