question_number,variant,checkpoint_path,dataset_path,eval_corpus,question,ground_truth,answer,status,reason,token_f1,rouge_l,bertscore_p,bertscore_r,bertscore_f1,bertscore_model,bertscore_lang,bertscore_rescale_with_baseline
1,baseline_all_on,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\reinferencia_v3_ca_50_final_ca\checkpoints\baseline_all_on.json,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,En quin any fou fundada la Ciutat de València pels romans?,"La Ciutat de València fou fundada pels romans en l'any 138 aC. En el moment de la seua fundació, va rebre el nom de Valentia Edetanorum i es va establir sobre una de les illes que formava el riu Túria.",La Ciutat de València fou fundada pels romans el 138 aC amb el nom de _Valentia Edetanorum_.,ok,,0.4681,0.4681,0.7355,0.3441,0.518,microsoft/deberta-xlarge-mnli,en,True
2,baseline_all_on,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\reinferencia_v3_ca_50_final_ca\checkpoints\baseline_all_on.json,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Com es defineix la Taula de Canvis i Depòsits?,"La Taula de Canvis i Depòsits es defineix com una banca municipal creada en suport de les operacions comercials. Aquesta institució es va establir al segle XV, durant una etapa de gran auge econòmic per a la ciutat de València.","La Taula de Canvis i Depòsits es va crear com una banca municipal per suportar les operacions comercials, i va tenir lloc durant l'Època d'Esplendor al segle XV.",ok,,0.5763,0.5085,0.6097,0.5052,0.5576,microsoft/deberta-xlarge-mnli,en,True
3,baseline_all_on,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\reinferencia_v3_ca_50_final_ca\checkpoints\baseline_all_on.json,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Quins són els tres artistes en els quals es deixen sentir les tendències flamenques i italianes en pintura i escultura?,"Els tres artistes en els quals es deixen sentir les tendències flamenques i italianes en la pintura i l'escultura són Lluís Dalmau, Gonçal Peris i Damià Forment.","Els tres artistes en els quals es deixen sentir les tendències flamenques i italianes en pintura i escultura són Lluís Dalmau, Gonçal Peris i Damià Forment.",ok,,0.9565,0.9565,0.9538,0.9253,0.9397,microsoft/deberta-xlarge-mnli,en,True
4,baseline_all_on,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\reinferencia_v3_ca_50_final_ca\checkpoints\baseline_all_on.json,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Per què València va perdre la posició hegemònica en l'economia espanyola al segle XVI?,València va perdre la seua posició hegemònica en l'economia espanyola al segle XVI a causa del descobriment d'Amèrica.,València va perdre la posició hegemònica en l'economia espanyola a causa del descobriment d'Amèrica.,ok,,0.8571,0.8571,0.9756,0.8671,0.9202,microsoft/deberta-xlarge-mnli,en,True
5,baseline_all_on,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\reinferencia_v3_ca_50_final_ca\checkpoints\baseline_all_on.json,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Qui va liderar des de València la temptativa colpista la nit del 23 de febrer de 1981?,"El capità general Milans del Bosch va ser qui va liderar la temptativa colpista des de València la nit del 23 de febrer de 1981. Afortunadament, aquest intent de colp d'estat va fracassar.",El capità general Milans del Bosch va liderar des de València la temptativa colpista de la nit del 23 de febrer de 1981.,ok,,0.8,0.68,0.8263,0.5401,0.6729,microsoft/deberta-xlarge-mnli,en,True
6,baseline_all_on,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\reinferencia_v3_ca_50_final_ca\checkpoints\baseline_all_on.json,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Com s'anomena la innovadora novel·la de cavalleria que va escriure Joanot Martorell cap al 1460?,"La innovadora novel·la de cavalleria escrita per Joanot Martorell cap al 1460 s'anomena Tirant lo Blanch. Aquesta obra va arribar a influir profundament en nombrosos autors posteriors, des de Cervantes a Shakespeare.",La innovadora novel·la de cavalleria que va escriure Joanot Martorell cap al 1460 es coneix com *Tirant lo Blanch*.,ok,,0.5532,0.5106,0.6308,0.3282,0.4669,microsoft/deberta-xlarge-mnli,en,True
7,baseline_all_on,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\reinferencia_v3_ca_50_final_ca\checkpoints\baseline_all_on.json,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,En quina data exacta van derrotar les tropes borbòniques a les austracistes en la batalla d'Almansa?,Les tropes borbòniques van derrotar les austracistes en la batalla d'Almansa el 25 d'abril de 1707. Aquest esdeveniment es va produir després del breu regnat de l'arxiduc Carles d'Àustria a la ciutat de València.,Les tropes borbòniques van derrotar les austracistes en la batalla d'Almansa el 25 d'abril de 1707.,ok,,0.6,0.6,0.8611,0.4307,0.6205,microsoft/deberta-xlarge-mnli,en,True
8,baseline_all_on,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\reinferencia_v3_ca_50_final_ca\checkpoints\baseline_all_on.json,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Qui va derogar immediatament la constitució liberal aprovada a Cadis en tornar a la península a través de València al maig de 1814?,"Ferran VII va ser qui va derogar immediatament la constitució aprovada a Cadis en tornar a la península a través de València al maig de 1814. Amb aquesta acció, el monarca va posar fi a les reformes liberals i va instaurar un règim de caràcter absolutista.","Ferran VII va derogar immediatament la constitució aprovada a Cadis quan va tornar a la península a través de València al maig de 1814, instaurant un règim de caràcter absolutista.",ok,,0.7213,0.6885,0.8645,0.6649,0.7603,microsoft/deberta-xlarge-mnli,en,True
9,baseline_all_on,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\reinferencia_v3_ca_50_final_ca\checkpoints\baseline_all_on.json,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Quines són les tres comunitats que van protagonitzar conflictes entre elles a la ciutat de València durant el segle XIV?,"Les tres comunitats que van protagonitzar conflictes a València durant el segle XIV van ser la cristiana, la jueva i la musulmana. Aquests enfrontaments van suposar un dels greus compromisos pels quals va passar la ciutat en eixa època.","Les tres comunitats que van protagonitzar conflictes entre elles a la ciutat de València durant el segle XIV són la cristiana, la jueva i la musulmana.",ok,,0.6,0.56,0.7511,0.5306,0.6352,microsoft/deberta-xlarge-mnli,en,True
10,baseline_all_on,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\reinferencia_v3_ca_50_final_ca\checkpoints\baseline_all_on.json,C:\Users\nadiv\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Per què València va viure un espectacular creixement demogràfic al començament de la dècada dels seixanta?,"València va viure un espectacular creixement demogràfic al començament dels seixanta a causa de la immigració. A més, aquest increment poblacional també va estar motivat per l'execució d'importants obres urbanístiques i d'infraestructures a la ciutat.","València va experimentar un espectacular creixement demogràfic al començament dels seixanta a causa de l'immigració i l'execució d'importants obres urbanístiques i d'infraestructures, ja que es va iniciar la recuperació econòmica i es va posar en marxa el Pla Sud del riu Túria, cosa que va fer créixer la ciutat.",ok,,0.5205,0.4932,0.5172,0.5984,0.5585,microsoft/deberta-xlarge-mnli,en,True
