question_number,variant,checkpoint_path,dataset_path,eval_corpus,question,ground_truth,answer,status,reason,token_f1,rouge_l,bertscore_p,bertscore_r,bertscore_f1,bertscore_model,bertscore_lang,bertscore_rescale_with_baseline
1,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,En quin any fou fundada la Ciutat de València pels romans?,"La Ciutat de València fou fundada pels romans en l'any 138 aC. En el moment de la seua fundació, va rebre el nom de Valentia Edetanorum i es va establir sobre una de les illes que formava el riu Túria.",La Ciutat de València fou fundada pels romans l'any 138 aC amb el nom de _Valentia Edetanorum_.,ok,,0.5,0.5,0.7188,0.3537,0.5175,microsoft/deberta-xlarge-mnli,en,True
2,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Com es defineix la Taula de Canvis i Depòsits?,"La Taula de Canvis i Depòsits es defineix com una banca municipal creada en suport de les operacions comercials. Aquesta institució es va establir al segle XV, durant una etapa de gran auge econòmic per a la ciutat de València.",La Taula de Canvis i Depòsits es va crear com una banca municipal per donar suport a les operacions comercials.,ok,,0.56,0.48,0.7519,0.4158,0.5685,microsoft/deberta-xlarge-mnli,en,True
3,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Quins són els tres artistes en els quals es deixen sentir les tendències flamenques i italianes en pintura i escultura?,"Els tres artistes en els quals es deixen sentir les tendències flamenques i italianes en la pintura i l'escultura són Lluís Dalmau, Gonçal Peris i Damià Forment.","Els tres artistes en els quals es deixen sentir les tendències flamenques i italianes en pintura i escultura són Lluís Dalmau, Gonçal Peris i Damià Forment.",ok,,0.9565,0.9565,0.9538,0.9253,0.9397,microsoft/deberta-xlarge-mnli,en,True
4,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Per què València va perdre la posició hegemònica en l'economia espanyola al segle XVI?,València va perdre la seua posició hegemònica en l'economia espanyola al segle XVI a causa del descobriment d'Amèrica.,València va perdre la posició hegemònica en l'economia espanyola a causa del descobriment d'Amèrica.,ok,,0.8571,0.8571,0.9756,0.8671,0.9202,microsoft/deberta-xlarge-mnli,en,True
5,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Qui va liderar des de València la temptativa colpista la nit del 23 de febrer de 1981?,"El capità general Milans del Bosch va ser qui va liderar la temptativa colpista des de València la nit del 23 de febrer de 1981. Afortunadament, aquest intent de colp d'estat va fracassar.",El capità general Milans del Bosch va liderar des de València la temptativa colpista de la nit del 23 de febrer de 1981.,ok,,0.8,0.68,0.8263,0.5401,0.6729,microsoft/deberta-xlarge-mnli,en,True
6,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Com s'anomena la innovadora novel·la de cavalleria que va escriure Joanot Martorell cap al 1460?,"La innovadora novel·la de cavalleria escrita per Joanot Martorell cap al 1460 s'anomena Tirant lo Blanch. Aquesta obra va arribar a influir profundament en nombrosos autors posteriors, des de Cervantes a Shakespeare.",La innovadora novel·la de cavalleria que va escriure Joanot Martorell cap al 1460 es coneix com *Tirant lo Blanch*.,ok,,0.5532,0.5106,0.6308,0.3282,0.4669,microsoft/deberta-xlarge-mnli,en,True
7,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,En quina data exacta van derrotar les tropes borbòniques a les austracistes en la batalla d'Almansa?,Les tropes borbòniques van derrotar les austracistes en la batalla d'Almansa el 25 d'abril de 1707. Aquest esdeveniment es va produir després del breu regnat de l'arxiduc Carles d'Àustria a la ciutat de València.,Les tropes borbòniques van derrotar les austracistes en la batalla d'Almansa el 25 d'abril de 1707.,ok,,0.6,0.6,0.8611,0.4307,0.6205,microsoft/deberta-xlarge-mnli,en,True
8,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Qui va derogar immediatament la constitució liberal aprovada a Cadis en tornar a la península a través de València al maig de 1814?,"Ferran VII va ser qui va derogar immediatament la constitució aprovada a Cadis en tornar a la península a través de València al maig de 1814. Amb aquesta acció, el monarca va posar fi a les reformes liberals i va instaurar un règim de caràcter absolutista.",Ferran VII va derogar immediatament la constitució aprovada a Cadis quan va tornar a la península a través de València al maig de 1814.,ok,,0.6429,0.6071,0.8321,0.484,0.642,microsoft/deberta-xlarge-mnli,en,True
9,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Quines són les tres comunitats que van protagonitzar conflictes entre elles a la ciutat de València durant el segle XIV?,"Les tres comunitats que van protagonitzar conflictes a València durant el segle XIV van ser la cristiana, la jueva i la musulmana. Aquests enfrontaments van suposar un dels greus compromisos pels quals va passar la ciutat en eixa època.","Les tres comunitats que van protagonitzar conflictes entre elles a la ciutat de València durant el segle XIV són la cristiana, la jueva i la musulmana.",ok,,0.6,0.56,0.7511,0.5306,0.6352,microsoft/deberta-xlarge-mnli,en,True
10,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Per què València va viure un espectacular creixement demogràfic al començament de la dècada dels seixanta?,"València va viure un espectacular creixement demogràfic al començament dels seixanta a causa de la immigració. A més, aquest increment poblacional també va estar motivat per l'execució d'importants obres urbanístiques i d'infraestructures a la ciutat.","València va experimentar un espectacular creixement demogràfic al començament dels seixanta a causa de l'immigració i l'execució d'importants obres urbanístiques i d'infraestructures, ja que es va iniciar la recuperació econòmica i es va posar en marxa el Pla Sud del riu Túria, cosa que va fer créixer la ciutat.",ok,,0.5205,0.4932,0.5172,0.5984,0.5585,microsoft/deberta-xlarge-mnli,en,True
11,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,En quin any es va començar a celebrar el Concurs Internacional de Paella Valenciana a la localitat de Sueca?,"El Concurs Internacional de Paella Valenciana es va començar a celebrar a la localitat de Sueca en l'any 1961. Aquest esdeveniment, que té lloc cada mes de setembre, ha estat declarat festa d'interès turístic internacional.",El Concurs Internacional de Paella Valenciana a la localitat de Sueca es va començar a celebrar en l'any 1961.,ok,,0.6522,0.5217,0.8525,0.4264,0.6145,microsoft/deberta-xlarge-mnli,en,True
12,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Com es defineix la paella?,"La paella es defineix com un guisat d'arròs, carn i verdures preparat en una paella sobre un foc, ja siga paeller o fogó. Aquest plat tradicional és originari de la marjal de l'Albufera de València.","La paella es defineix com un guisat d'arròs, carn i verdures que es prepara en una paella sobre un foc, siga paeller o fogó. És considerat el plat típic valencià per excel·lència i és originària de la marjal de l'Albufera de València, a la comarca natural de la Ribera del Xúquer i a l'Horta Sud, al sud de València.",ok,,0.6329,0.6329,0.5163,0.7059,0.6073,microsoft/deberta-xlarge-mnli,en,True
13,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Quines són les sis classes de marisc que s'esmenten com a possibles ingredients de la paella marinera?,"Les sis classes de marisc que s'esmenten com a ingredients per a fer la paella marinera són la sèpia, els calamars, els escamarlans, les gambes, les cloïsses i les clòtxines.","Les sis classes de marisc que esmenten com a possibles ingredients de la paella marinera són: sèpia, calamars, escamarlans, gambes, cloïsses o clòtxines.",ok,,0.8,0.8,0.8112,0.7336,0.7725,microsoft/deberta-xlarge-mnli,en,True
14,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Per què la paella era el plat elegit pels valencians quan calia realitzar alguna celebració?,La paella era el plat elegit per a les celebracions a causa de la seua laboriosa preparació i perquè els seus ingredients van ser un luxe per a la majoria de la població durant molt de temps.,"La paella era el plat elegit pels valencians quan calia realitzar alguna celebració a causa de la seva laboriosa preparació i perquè els seus ingredients representaven un luxe per a la majoria de la població durant molt de temps; aixímateix, els valencians sempre han associat la paella a l'element festiu.",ok,,0.6563,0.6563,0.4695,0.753,0.6009,microsoft/deberta-xlarge-mnli,en,True
15,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Com s'anomena la paella (referint-se a l'estri de cuina) a la zona central del País Valencià?,"A la zona central del País Valencià, l'estri de la paella s'anomena «caldero». En altres indrets, com a la Plana, aquest mateix recipient s'anomena sovint «paelló».","A la zona central del País Valencià, la paella (estri) també s'anomena «caldero».",ok,,0.5161,0.5161,0.5556,0.327,0.435,microsoft/deberta-xlarge-mnli,en,True
16,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,En quin mes i any es va publicar la versió 9 d'Unicode que va incorporar la paella com un emoji més?,"La versió 9 d'Unicode, que va incorporar la paella com un emoji més, es va publicar el juny del 2016. Aquesta inclusió va ser fruit de la campanya impulsada prèviament per l'humorista Eugeni Alemany.",La versió 9 d'Unicode que va incorporar la paella com un emoji més es va publicar el juny del 2016.,ok,,0.7111,0.7111,0.818,0.4444,0.6123,microsoft/deberta-xlarge-mnli,en,True
17,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Qui va liderar el grup de cuiners valencians que va declarar la necessitat d'oficialitzar una sola recepta per a la paella?,Rafael Vidal va ser qui va liderar el grup de cuiners valencians que va declarar la necessitat d'oficialitzar una sola recepta per a la paella. Aquesta decisió es va prendre per a evitar la confusió generada per la internacionalització del plat.,Rafael Vidal va liderar el grup de cuiners valencians que va declarar la necessitat d'oficialitzar una sola recepta per a la paella.,ok,,0.68,0.68,0.8582,0.5569,0.6961,microsoft/deberta-xlarge-mnli,en,True
18,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Quins són els cinc països d'Europa Occidental on el text indica explícitament que es pot trobar paella?,"Els cinc països d'Europa Occidental on s'indica explícitament que es pot trobar paella són Portugal, Alemanya, Suècia, Noruega i Dinamarca. En aquests i altres indrets internacionals, les receptes i el tipus d'arròs utilitzat solen variar prou respecte a l'original.","Els cinc països d'Europa Occidental que el text indica explícitament que es pot trobar paella són Portugal, Alemanya, Suècia, Noruega i Dinamarca.",ok,,0.6182,0.6182,0.7961,0.4416,0.6019,microsoft/deberta-xlarge-mnli,en,True
19,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Per què se sol utilitzar arròs llarg per a preparar la paella fora d'Espanya?,"Fora d'Espanya se sol utilitzar arròs llarg per a preparar la paella perquè l'arròs idoni i tradicional, com el bomba o el rodó, és molt difícil de trobar en aquests indrets. A causa d'aquesta dificultat logística, s'acostuma a recórrer a l'arròs llarg com a principal alternativa per a l'elaboració del plat.","Fora d'Espanya, es sol utilitzar arròs llarg perquè és molt difícil trobar l'arròs adequat per a paella (com el bomba, o almenys rodó, de l'Albufera, del Delta de l'Ebre o de Calasparra).",ok,,0.5556,0.3889,0.4629,0.3406,0.4017,microsoft/deberta-xlarge-mnli,en,True
20,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,"Com s'anomena l'activitat festiva que es desenvolupa a molts pobles valencians i alguns de catalans durant les festes majors, on les colles d'amics cuinen desenes de paelles fent foc al carrer?",Aquesta activitat festiva s'anomena Paelles al Carrer. Consisteix en una sopada comuna on l'ajuntament sol repartir els ingredients necessaris a cada colla d'amics inscrita perquè cuinen les paelles al carrer sobre el foc de llenya.,"L'activitat festiva que es desenvolupa a molts pobles valencians i alguns de catalans durant les festes majors, on les colles d'amics cuinen desenes de paelles fent foc al carrer, es coneix com a ""L'_Paelles al Carrer'"".",ok,,0.3548,0.2258,0.2995,0.3173,0.3111,microsoft/deberta-xlarge-mnli,en,True
21,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,En quina data exacta va signar Jaume I el decret que autoritzava l'infant Pere a ocupar els castells del Regne de València?,"Jaume I va signar aquest decret el 9 de juliol del 1276. Ho va fer mentre es trobava malalt a la residència reial d'Alzira, traspassant així el comandament de la campanya militar al seu fill.",Jaume I va signar el decret que autoritzava l'infant Pere a ocupar els castells del Regne de València el 9 de juliol del 1276.,ok,,0.44,0.4,0.5157,0.3696,0.4414,microsoft/deberta-xlarge-mnli,en,True
22,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Com es defineix el pactisme en el context històric de la Corona d'Aragó?,"El pactisme es defineix com una fórmula de repartiment del poder que es va establir entre els monarques de la Corona d'Aragó i els grups més privilegiats. Els primers a exercir aquest pactisme van ser la noblesa i l'església, i posteriorment s'hi van sumar les classes emergents ciutadanes des del segle XIII.","El pactisme es defineix com la fórmula de repartiment del poder que es va començar a establir entre els monarques de la Corona d'Aragó i els grups més privilegiats. Inicialment, els primers a exercir el pactisme amb el rei van ser la noblesa i l'església, i des del segle xiii s'hi va afegir les classes emergents ciutadanes, especialment de Barcelona (ciutadans honrats). Aquest pactisme va permetre mantenir un equilibri entre l'autoritarisme reial i els interessos econòmics de la noblesa, el clergat i la burgesia rica. Els grups privilegiats utilitzaven aquest sistema per forçar al rei a aprovar acords que reforçaven els seus privilegis quan necessitaven el seu ajut monetari. Aquest desenvolupament es produeix a les corts catalanes, on estan representats els tres braços, i no hi són representats ni els camperols ni els menestrals.",ok,,0.5298,0.4636,0.2974,0.6308,0.4482,microsoft/deberta-xlarge-mnli,en,True
23,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Quins són els sis béns i objectes personals que Jaume I va lliurar al monestir en el seu testament?,"Els sis béns i objectes personals que Jaume I va lliurar al monestir en el seu testament van ser: cinc mil morabatins, la seua cinta d'or, la seua vaixella de plata, pedres precioses i anells, un portapau en forma de creu ornamentat amb pedres precioses i la seua capella oratòria personal.","Jaume I va lliurar al monestir els béns i objectes personals següents en el seu testament: cinc mil morabatins, la seva cinta d'or, la seva vaixella de plata, pedres precioses i anells, un portapau en forma de creu ornamentat amb pedres precioses i la seva capella oratòria personal.",ok,,0.8736,0.7816,0.8751,0.8716,0.8738,microsoft/deberta-xlarge-mnli,en,True
24,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,"Per què la reina Violant d'Aragó i d'Hongria va demanar ajuda urgent al seu pare, el rei Jaume I?",La reina Violant va demanar ajuda urgent al seu pare perquè la Corona de Castella era incapaç de controlar la rebel·lió islàmica protagonitzada pels sarraïns murcians. Aquests s'havien revoltat l'any 1264 amb el suport militar del regne de Granada i el Marroc.,"La reina Violant d'Aragó i d'Hongria va demanar ajuda urgent al seu pare, Jaume I, perquè Castella era incapaç de controlar la rebel·lió islàmica a Múrcia.",ok,,0.6,0.5667,0.6146,0.4335,0.5209,microsoft/deberta-xlarge-mnli,en,True
25,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Qui va conquerir les illes Pitiüses (Eivissa i Formentera) l'any 1235?,"Les illes Pitiüses van ser conquerides l'any 1235 per Guillem de Montgrí, arquebisbe de Tarragona, i el seu germà Bernat de Santa Eugènia. Aquesta expedició de conquesta catalana havia rebut prèviament el títol de croada per part del papa Gregori IX.","Guillem de Montgrí, arquebisbe de Tarragona, i son germà Bernat de Santa Eugènia conqueriren les Pitiüses (Eivissa i Formentera) l'any 1235.",ok,,0.5172,0.4138,0.6109,0.3604,0.4777,microsoft/deberta-xlarge-mnli,en,True
26,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Com s'anomena el tractat signat el març de 1227 que va posar fi a l'alçament de la noblesa dirigit per l'infant Ferran?,Aquest tractat signat el març de 1227 s'anomena Concòrdia d'Alcalá. L'acord es va aconseguir gràcies a la intervenció papal a través de l'arquebisbe de Tarragona i va marcar el triomf de la monarquia sobre els nobles.,"El tractat que va posar fi a l'alçament de la noblesa dirigit per l'infant Ferran, i que es va signar el març de 1227, es coneix com el tractat de la Concòrdia d'Alcalá.",ok,,0.4286,0.2143,0.4522,0.3184,0.3847,microsoft/deberta-xlarge-mnli,en,True
27,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,"En quina data exacta va sortir l'estol català de Salou, Cambrils i Tarragona per a la conquesta de Mallorca?","L'estol català va sortir de Salou, Cambrils i Tarragona el 5 de setembre de 1229 per a iniciar la conquesta de Mallorca. Aquesta expedició naval va permetre desembarcar a Santa Ponça i vèncer els moros a la batalla de Portopí.","L'estol català va sortir de Salou, Cambrils i Tarragona el 5 de setembre de 1229 per a la conquesta de Mallorca.",ok,,0.7059,0.7059,0.8264,0.4914,0.6442,microsoft/deberta-xlarge-mnli,en,True
28,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Quins són els noms dels apòstols que s'esmenten com a possibles opcions en els dotze ciris que va encendre Maria de Montpeller per a triar el nom del seu fill?,"Els possibles noms dels apòstols enumerats són Pere, Andreu, Jaume (el major), Jaume (el menor), Joan, Felip, Bartomeu, Mateu, Maties, Tomàs, Simó, Judes (Tadeu) i Judes (Iscariot). El nom de Jaume va ser l'escollit finalment perquè fou el darrer ciri a consumir-se.","Els possibles noms dels apòstols que Maria de Montpeller encengué amb els ciris són: Pere, Andreu, Jaume (el major), Jaume (el menor), Joan, Felip, Bartomeu, Mateu, Maties, Tomàs, Simó, Judes (Tadeu), Judes (Iscariot), i Iacobus (en llati) o Jacme (en occita).",ok,,0.6575,0.6027,0.6439,0.5952,0.6207,microsoft/deberta-xlarge-mnli,en,True
29,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Per què es va iniciar la primera revolta nobiliària liderada per Rodrigo de Liçana l'any 1220?,La revolta es va iniciar perquè Rodrigo de Liçana es va negar a acatar l'ordre del rei Jaume I que li manava alliberar Lope d'Albero. Aquest darrer havia estat retingut com a presoner pel noble a causa d'uns deutes.,"La primera revolta nobiliària va iniciar-se l'any 1220 perquè Rodrigo de Liçana es va negar a acatar l'ordre del rei que li demanava d'alliberar Lope d'Albero, a qui Rodrigo de Liçana havia fet presoner per uns deutes.",ok,,0.5882,0.5882,0.5658,0.5762,0.5727,microsoft/deberta-xlarge-mnli,en,True
30,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,"Com s'anomena la primera de ""les quatre grans Cròniques"" que narra, de forma autobiogràfica, la vida i les gestes més importants del rei Jaume I?","Aquesta obra literària s'anomena Llibre dels feits o Crònica de Jaume I. Constitueix la primera de ""les quatre grans Cròniques"" i narra de forma autobiogràfica la vida del monarca i les seves gestes principals, com ara les conquestes de Mallorca i València.","La primera de ""les quatre grans Cròniques"" que narra, de forma autobiogràfica, la vida i els gestes més importants del rei Jaume I es coneix com a *L'_Llibre dels feits_ - _Crònica de Jaume I_*.",ok,,0.5455,0.4242,0.4611,0.4197,0.4423,microsoft/deberta-xlarge-mnli,en,True
31,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,En quina data exacta es va produir la primera prohibició de la pràctica de la pilota als carrers de València?,La primera prohibició de la pràctica de la pilota als carrers de València es va dictar el 14 de juny de 1391. Aquesta mesura restrictiva es va prendre per l'ús de paraules malsonants i perquè durant les partides es feia impossible el trànsit.,La primera prohibició de la pràctica de la pilota als carrers va tenir lloc el 14 de juny de 1391.,ok,,0.5283,0.5283,0.7284,0.3599,0.5251,microsoft/deberta-xlarge-mnli,en,True
32,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Com es defineix la pilota valenciana?,"La pilota valenciana es defineix com l'esport de pilota autòcton del País Valencià on dos jugadors o equips competeixen llançant-se una pilota amb la mà front a front. Aquesta pràctica es desenvolupa sota determinades regles segons la modalitat jugada, com ara fer passar la pilota per sobre d'una corda o avançar unes ratlles en terra.","La pilota valenciana es defineix com l'esport de pilota autòcton del País Valencià, i es nomena així per distinguer-la d'altres jocs de pilota, com la pilota basca. Sota aquest nom genèric hi ha un conjunt de modalitats que es diferencien en funció de la pilota amb què es juga, el recinte de joc o les comarques on es practiquen.",ok,,0.4356,0.3168,0.385,0.3733,0.3816,microsoft/deberta-xlarge-mnli,en,True
33,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Quines són les tres modalitats de pilota valenciana que s'enumeren com a practicades al carrer?,"Les tres modalitats de pilota valenciana que es juguen al carrer són la Galotxa, les Llargues i el Raspall. Aquestes partides es disputen en carrers que tradicionalment han de ser llargs i amples per a permetre jugar sense obstacles.","Les tres modalitats de pilota valenciana que es poden practicar al carrer són Galotxa, Llargues i Raspall.",ok,,0.56,0.56,0.7026,0.318,0.489,microsoft/deberta-xlarge-mnli,en,True
