question_number,variant,checkpoint_path,dataset_path,eval_corpus,question,ground_truth,answer,status,reason,token_f1,rouge_l,bertscore_p,bertscore_r,bertscore_f1,bertscore_model,bertscore_lang,bertscore_rescale_with_baseline
1,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,En quin any fou fundada la Ciutat de València pels romans?,"La Ciutat de València fou fundada pels romans en l'any 138 aC. En el moment de la seua fundació, va rebre el nom de Valentia Edetanorum i es va establir sobre una de les illes que formava el riu Túria.","La Ciutat de València fou fundada pels romans l'any 138 aC, amb el nom de *Valentia Edetanorum*, sobre una de les illes que formava el riu Túria en la seva pantanosa desembocadura.",ok,,0.7458,0.7119,0.6734,0.6229,0.6492,microsoft/deberta-xlarge-mnli,en,True
2,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Com es defineix la Taula de Canvis i Depòsits?,"La Taula de Canvis i Depòsits es defineix com una banca municipal creada en suport de les operacions comercials. Aquesta institució es va establir al segle XV, durant una etapa de gran auge econòmic per a la ciutat de València.",No hi ha informació sobre com es defineix la Taula de Canvis i Depòsits en el context dels fragments proporcionats.,ok,,0.3462,0.2308,0.4369,0.2308,0.329,microsoft/deberta-xlarge-mnli,en,True
3,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Quins són els tres artistes en els quals es deixen sentir les tendències flamenques i italianes en pintura i escultura?,"Els tres artistes en els quals es deixen sentir les tendències flamenques i italianes en la pintura i l'escultura són Lluís Dalmau, Gonçal Peris i Damià Forment.","En pintura i escultura, les tendències flamenques i italianes es deixen sentir en artistes com Lluís Dalmau, Gonçal Peris o Damià Forment.",ok,,0.8182,0.5455,0.6876,0.5838,0.6356,microsoft/deberta-xlarge-mnli,en,True
4,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Per què València va perdre la posició hegemònica en l'economia espanyola al segle XVI?,València va perdre la seua posició hegemònica en l'economia espanyola al segle XVI a causa del descobriment d'Amèrica.,València va perdre la posició hegemònica en l'economia espanyola a causa del descobriment d'Amèrica.,ok,,0.8571,0.8571,0.9756,0.8671,0.9202,microsoft/deberta-xlarge-mnli,en,True
5,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Qui va liderar des de València la temptativa colpista la nit del 23 de febrer de 1981?,"El capità general Milans del Bosch va ser qui va liderar la temptativa colpista des de València la nit del 23 de febrer de 1981. Afortunadament, aquest intent de colp d'estat va fracassar.",La temptativa colpista de la nit del 23 de febrer de 1981 va ser liderada des de València pel capità general Milans del Bosch.,ok,,0.7692,0.4231,0.7304,0.4829,0.5992,microsoft/deberta-xlarge-mnli,en,True
6,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Com s'anomena la innovadora novel·la de cavalleria que va escriure Joanot Martorell cap al 1460?,"La innovadora novel·la de cavalleria escrita per Joanot Martorell cap al 1460 s'anomena Tirant lo Blanch. Aquesta obra va arribar a influir profundament en nombrosos autors posteriors, des de Cervantes a Shakespeare.","Joanot Martorell va escriure l'**Tirant lo Blanch**, que és una innovadora novel·la de cavalleria, cap al 1460.",ok,,0.5333,0.3111,0.5142,0.2959,0.3994,microsoft/deberta-xlarge-mnli,en,True
7,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,En quina data exacta van derrotar les tropes borbòniques a les austracistes en la batalla d'Almansa?,Les tropes borbòniques van derrotar les austracistes en la batalla d'Almansa el 25 d'abril de 1707. Aquest esdeveniment es va produir després del breu regnat de l'arxiduc Carles d'Àustria a la ciutat de València.,Les tropes borbòniques van derrotar les tropes austracistes en la batalla d'Almansa el 25 d'abril de 1707.,ok,,0.5854,0.5854,0.8023,0.4037,0.581,microsoft/deberta-xlarge-mnli,en,True
8,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Qui va derogar immediatament la constitució liberal aprovada a Cadis en tornar a la península a través de València al maig de 1814?,"Ferran VII va ser qui va derogar immediatament la constitució aprovada a Cadis en tornar a la península a través de València al maig de 1814. Amb aquesta acció, el monarca va posar fi a les reformes liberals i va instaurar un règim de caràcter absolutista.",Ferran VII va derogar immediatament la constitució aprovada a Cadis quan va tornar a la península a través de València el maig de 1814.,ok,,0.6182,0.5818,0.8138,0.4747,0.629,microsoft/deberta-xlarge-mnli,en,True
9,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Quines són les tres comunitats que van protagonitzar conflictes entre elles a la ciutat de València durant el segle XIV?,"Les tres comunitats que van protagonitzar conflictes a València durant el segle XIV van ser la cristiana, la jueva i la musulmana. Aquests enfrontaments van suposar un dels greus compromisos pels quals va passar la ciutat en eixa època.","A la ciutat de València, durant el segle XIV, van tenir conflictes entre les tres comunitats: la cristiana, la jueva i la musulmana.",ok,,0.5532,0.383,0.6425,0.4022,0.5153,microsoft/deberta-xlarge-mnli,en,True
10,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Per què València va viure un espectacular creixement demogràfic al començament de la dècada dels seixanta?,"València va viure un espectacular creixement demogràfic al començament dels seixanta a causa de la immigració. A més, aquest increment poblacional també va estar motivat per l'execució d'importants obres urbanístiques i d'infraestructures a la ciutat.","València va experimentar un espectacular creixement demogràfic al començament de la dècada dels seixanta a causa de la immigració i l'execució d'importants obres urbanístiques i d'infraestructures, cosa que va implicar la posada en marxa del Pla Sud del riu Túria i el creixement de la ciutat.",ok,,0.5882,0.5588,0.5968,0.6393,0.6193,microsoft/deberta-xlarge-mnli,en,True
11,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,En quin any es va començar a celebrar el Concurs Internacional de Paella Valenciana a la localitat de Sueca?,"El Concurs Internacional de Paella Valenciana es va començar a celebrar a la localitat de Sueca en l'any 1961. Aquest esdeveniment, que té lloc cada mes de setembre, ha estat declarat festa d'interès turístic internacional.",El Concurs Internacional de Paella Valenciana a la localitat de Sueca es va començar a celebrar el 1961.,ok,,0.5909,0.4545,0.8234,0.3659,0.5651,microsoft/deberta-xlarge-mnli,en,True
12,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_ca_ca\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_ca.json,ca,Com es defineix la paella?,"La paella es defineix com un guisat d'arròs, carn i verdures preparat en una paella sobre un foc, ja siga paeller o fogó. Aquest plat tradicional és originari de la marjal de l'Albufera de València.","La paella es defineix com un guisat d'arròs, carn i verdures que es prepara en una paella sobre un foc, siga paeller o fogó. És originària de la marjal de l'Albufera de València, a la comarca natural de la Ribera del Xúquer i a l'Horta Sud, al sud de València, i és considerada el plat típic valencià per excel·lència.",ok,,0.6329,0.6076,0.5149,0.72,0.6128,microsoft/deberta-xlarge-mnli,en,True
