question_number,variant,checkpoint_path,dataset_path,eval_corpus,question,ground_truth,answer,status,reason,token_f1,rouge_l,bertscore_p,bertscore_r,bertscore_f1,bertscore_model,bertscore_lang,bertscore_rescale_with_baseline
1,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,¿Cuántos metros de altura alcanzó la falla Na Jordana en el año 2001?,"La falla Na Jordana del año 2001 alcanzó una altura de 33 metros. Con estas dimensiones excepcionales, logró destacarse como la falla más alta y voluminosa de toda la historia de las fiestas.","La falla Na Jordana en el año 2001 alcanzó una altura de 33 metros, siendo la más alta y voluminosa de la historia.",ok,,0.6957,0.6957,0.753,0.5144,0.6269,microsoft/deberta-xlarge-mnli,en,True
2,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,¿Cómo se definen las Fallas de Valencia?,"Las Fallas de Valencia se definen como unas fiestas tradicionales fuertemente arraigadas en la ciudad española de Valencia, las cuales se celebran del 1 al 19 de marzo. Su inicio oficial tiene lugar el último domingo de febrero con el acto de la crida. Además de ser catalogadas como fiesta de Interés Turístico Internacional, en noviembre de 2016 la UNESCO las inscribió en su Lista Representativa del Patrimonio Cultural Inmaterial de la Humanidad.","Las Fallas de Valencia, también conocidas como *Falles* en valenciano, son unas fiestas que se celebran en la ciudad de Valencia del 1 al 19 de marzo, y también se conocen como *fiestas josefinas* porque se celebran en honor a san José, patrón de los carpinteros.

Según Francisco Almela Vives, las fallas son ""efímeros catafalcos con figuras que para ser quemados se levantan en la Ciudad de Valencia por la fiesta de San José"". Estas fallas suelen tener un carácter satírico sobre temas de actualidad y constan de una figura o composición central de varios metros de altura, pudiendo superar los 30 metros.

En cuanto a su composición, las figuras pueden estar hechas de cartón, plastilina, piedra, poliuretano (material que está siendo sustituido por poliestireno expandido), y están sostenidas por un armazón de madera. Además, incluyen letreros escritos en valenciano que explican el significado de cada escenografía, siempre con un sentido crítico y satírico.",ok,,0.3184,0.2388,0.1331,0.2862,0.2083,microsoft/deberta-xlarge-mnli,en,True
3,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,"¿Cuáles son los cuatro integrantes que, según Almela i Vives, estaban incluidos en toda Comisión fallera?","Según Almela i Vives, toda Comisión fallera incluía explícitamente cuatro integrantes: el dueño del cafetín más cercano que servía como punto de reunión, el dueño de la carpintería de la zona que actuaba como técnico, el zapatero de la comisión que aportaba sugerencias y el dueño del ultramarinos y coloniales que hacía las veces de tesorero.","Según Almela i Vives, los cuatro integrantes incluidos en toda Comisión fallera eran: el dueño del cafetín situado más cerca del lugar donde se plantaba la falla, el dueño de la carpintería de la zona (que actuaba como técnico), el zapatero de la comisión (quien aportaba sugerencias), y el dueño del ultramarinos y coloniales (que hacía las veces de tesorero).",ok,,0.7755,0.7347,0.7598,0.7994,0.7802,microsoft/deberta-xlarge-mnli,en,True
4,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,"¿Por qué se suspendieron los actos falleros previstos, incluyendo la Crida, a finales de febrero de 2024?",Estos actos falleros se suspendieron a causa de un grave incendio ocurrido el 22 de febrero de 2024 en el barrio valenciano de Campanar. La decisión se tomó siguiendo los tres días de luto oficial que declararon el Ayuntamiento de Valencia y la Generalidad Valenciana.,"Los actos falleros previstos, incluyendo la Crida, se suspendieron a finales de febrero de 2024 debido a un grave incendio que ocurrió el 22 de febrero en el barrio de Campanar (Valencia). Esta suspensión ocurrió después de los tres días de luto oficial declarados tanto por el Ayuntamiento de Valencia como por la Generalidad Valenciana.",ok,,0.6585,0.5854,0.5778,0.7171,0.646,microsoft/deberta-xlarge-mnli,en,True
5,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,¿Qué autor suecano inició en el siglo XIX el género del librito de la sátira fallera?,"El género del librito de la sátira, el cual se utiliza para explicar el contenido de la falla mediante versos satíricos, fue iniciado en el siglo XIX por el autor suecano Bernat i Baldoví.",El autor suecano que inició el género del librito de la sátira fallera en el siglo XIX fue Bernat i Baldoví.,ok,,0.6364,0.5,0.7106,0.5135,0.6079,microsoft/deberta-xlarge-mnli,en,True
6,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,¿Qué entrega el alcalde o alcaldesa de Valencia a la Fallera mayor durante La Crida?,"Durante La Crida, el alcalde o alcaldesa de Valencia entrega las llaves de la ciudad a la Fallera mayor, marcando el inicio oficial de las Fallas. Este acto se celebra el último domingo de febrero en las Torres de Serranos, donde la Fallera mayor reúne a todas las comisiones falleras y realiza la llamada a la iniciación de los festejos.","Durante el acto de La Crida, el alcalde o alcaldesa de Valencia le entrega las llaves de la ciudad a la fallera mayor.",ok,,0.5085,0.4407,0.658,0.2733,0.4438,microsoft/deberta-xlarge-mnli,en,True
7,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,¿Cuántos kilogramos de pólvora se dispararon durante el castillo de fuegos artificiales de la Noche del Fuego en el año 2015?,Durante el castillo de la Noche del Fuego del año 2015 se dispararon 2450 kilogramos de pólvora. Este espectacular evento iluminó el cielo de la ciudad durante más de 20 minutos y congregó a más de un millón de personas.,Durante el castillo de fuegos artificiales de la Noche del Fuego en el año 2015 se dispararon $2450$ kg de pólvora.,ok,,0.5385,0.5,0.6123,0.3544,0.4748,microsoft/deberta-xlarge-mnli,en,True
8,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,"¿Quién decidió llevar un ramo a la virgen a mediados de siglo, originando la actual Ofrenda?","Se comenta que la decisión de llevar por primera vez un ramo a la virgen fue tomada por una Fallera Mayor de la Falla Periodista Azzati. Esta iniciativa sentó el precedente para que al año siguiente su comisión y, posteriormente, otras agrupaciones falleras repitieran la acción de forma voluntaria.","Fue una Fallera Mayor de la Falla Periodista Azzati quien decidió llevar un ramo a la virgen, lo que originó la ""Ofrenda"" tal como se conoce actualmente, remontándose a mediados de siglo.",ok,,0.3939,0.2727,0.3544,0.2064,0.2793,microsoft/deberta-xlarge-mnli,en,True
9,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,¿Cuáles son las cuatro personas que se reunieron a principios de los años 70 y originaron los premios a las fallas mejor iluminadas?,"Las cuatro personas que originaron los premios a las fallas mejor iluminadas fueron D. Eugenio Gares Cardona, D. Vicente Muñoz Quiles, D. José Carrilero Brunet y D. Francisco Castro Sancha. Lo que comenzó como un encuentro informal entre ellos en el casino Monte Picayo sentó las bases de estos reconocidos galardones.","Las cuatro personas que se reunieron en el casino Monte Picayo a principios de los años 70 y originaron los premios a las fallas mejor iluminadas fueron D. Eugenio Gares Cardona (oficial de administración de justicia), D. Vicente Muñoz Quiles (locutor radiofónico), D. José Carrilero Brunet (Departamento mercadería de G.T.E Sylvania) y D. Francisco Castro Sancha (delegado zona levante de G.T.E Sylvania).",ok,,0.6263,0.5455,0.4539,0.5639,0.5089,microsoft/deberta-xlarge-mnli,en,True
10,baseline_all_on,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\baseline_all_on.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,¿Por qué no se plantaron los monumentos falleros en el año 1886?,Los monumentos falleros no se plantaron en 1886 porque los falleros se negaron a pagar la tasa de 60 pesetas que se exigía como canon. Este impuesto se cobraba desde 1851 por permitir plantar los catafalcos en las calles.,"Los monumentos falleros no se plantaron en el año 1886 porque los falleros se negaron a pagar la tasa de 60 pesetas como canon por plantar los catafalcos en las calles, y en ese año ninguna comisión plantó falla.",ok,,0.7077,0.7077,0.5417,0.5382,0.5418,microsoft/deberta-xlarge-mnli,en,True
