question_number,variant,checkpoint_path,dataset_path,eval_corpus,question,ground_truth,answer,status,reason,token_f1,rouge_l,bertscore_p,bertscore_r,bertscore_f1,bertscore_model,bertscore_lang,bertscore_rescale_with_baseline
1,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,¿Cuántos metros de altura alcanzó la falla Na Jordana en el año 2001?,"La falla Na Jordana del año 2001 alcanzó una altura de 33 metros. Con estas dimensiones excepcionales, logró destacarse como la falla más alta y voluminosa de toda la historia de las fiestas.","La falla Na Jordana en el año 2001 alcanzó una altura de 33 metros, siendo descrita como la más alta y voluminosa de la historia.",ok,,0.7083,0.7083,0.7388,0.5419,0.6362,microsoft/deberta-xlarge-mnli,en,True
2,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,¿Cómo se definen las Fallas de Valencia?,"Las Fallas de Valencia se definen como unas fiestas tradicionales fuertemente arraigadas en la ciudad española de Valencia, las cuales se celebran del 1 al 19 de marzo. Su inicio oficial tiene lugar el último domingo de febrero con el acto de la crida. Además de ser catalogadas como fiesta de Interés Turístico Internacional, en noviembre de 2016 la UNESCO las inscribió en su Lista Representativa del Patrimonio Cultural Inmaterial de la Humanidad.","Las Fallas de Valencia, conocidas como *Falles* en valenciano, son unas fiestas con una tradición arraigada en la ciudad de Valencia, y se celebran del 1 al 19 de marzo.

Además, se pueden definir por los siguientes aspectos:

*   **Reconocimiento:** Han sido inscritas por la Unesco en su Lista Representativa del Patrimonio Cultural Inmaterial de la Humanidad en noviembre de 2016.
*   **Nombres alternativos:** También son llamadas *fiestas josefinas*, ya que se celebran en honor a San José, patrón de los carpinteros.
*   **Inicio oficial:** Oficialmente comienzan el último domingo de febrero con el acto de la *crida*.
*   **Origen:** Aunque son oriundas de Valencia, la tradición se ha extendido a muchos municipios de la Comunidad Valenciana.",ok,,0.5714,0.3727,0.2837,0.5611,0.4118,microsoft/deberta-xlarge-mnli,en,True
3,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,"¿Cuáles son los cuatro integrantes que, según Almela i Vives, estaban incluidos en toda Comisión fallera?","Según Almela i Vives, toda Comisión fallera incluía explícitamente cuatro integrantes: el dueño del cafetín más cercano que servía como punto de reunión, el dueño de la carpintería de la zona que actuaba como técnico, el zapatero de la comisión que aportaba sugerencias y el dueño del ultramarinos y coloniales que hacía las veces de tesorero.","Según Almela i Vives, los cuatro integrantes que estaban incluidos en toda Comisión fallera eran:

1. El dueño del cafetín situado más cerca del lugar donde se plantaba la falla (que se convertía en el lugar de reunión de los otros componentes de la comisión).
2. El dueño de la carpintería de la zona (que actuaba como técnico).
3. El zapatero de la comisión (quien aportaba sugerencias).
4. El dueño del ultramarinos y coloniales (que hacía las veces de tesorero).",ok,,0.713,0.6609,0.512,0.7074,0.6056,microsoft/deberta-xlarge-mnli,en,True
4,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,"¿Por qué se suspendieron los actos falleros previstos, incluyendo la Crida, a finales de febrero de 2024?",Estos actos falleros se suspendieron a causa de un grave incendio ocurrido el 22 de febrero de 2024 en el barrio valenciano de Campanar. La decisión se tomó siguiendo los tres días de luto oficial que declararon el Ayuntamiento de Valencia y la Generalidad Valenciana.,"Los actos falleros previstos para los tres días siguientes a finales de febrero de 2024, incluyendo la Crida, se suspendieron debido a un grave incendio que ocurrió el 22 de febrero en el barrio de Campanar de Valencia. Esta suspensión se realizó siguiendo los tres días de luto oficial declarados tanto por el Ayuntamiento de Valencia como por la Generalidad Valenciana, y los actos suspendidos se celebraron el domingo siguiente.",ok,,0.6383,0.5319,0.4148,0.6283,0.5163,microsoft/deberta-xlarge-mnli,en,True
5,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,¿Qué autor suecano inició en el siglo XIX el género del librito de la sátira fallera?,"El género del librito de la sátira, el cual se utiliza para explicar el contenido de la falla mediante versos satíricos, fue iniciado en el siglo XIX por el autor suecano Bernat i Baldoví.",La información proporcionada en los fragmentos de contexto no menciona qué autor suecano inició el género del librito de la sátira fallera en el siglo XIX.,ok,,0.4583,0.3333,0.4843,0.4289,0.4583,microsoft/deberta-xlarge-mnli,en,True
6,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,¿Qué entrega el alcalde o alcaldesa de Valencia a la Fallera mayor durante La Crida?,"Durante La Crida, el alcalde o alcaldesa de Valencia entrega las llaves de la ciudad a la Fallera mayor, marcando el inicio oficial de las Fallas. Este acto se celebra el último domingo de febrero en las Torres de Serranos, donde la Fallera mayor reúne a todas las comisiones falleras y realiza la llamada a la iniciación de los festejos.","Durante *La Crida*, el alcalde o alcaldesa de Valencia le entrega las llaves de la ciudad a la fallera mayor, y con este acto dan por comenzadas las fallas.",ok,,0.5231,0.4615,0.5879,0.3028,0.4343,microsoft/deberta-xlarge-mnli,en,True
7,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,¿Cuántos kilogramos de pólvora se dispararon durante el castillo de fuegos artificiales de la Noche del Fuego en el año 2015?,Durante el castillo de la Noche del Fuego del año 2015 se dispararon 2450 kilogramos de pólvora. Este espectacular evento iluminó el cielo de la ciudad durante más de 20 minutos y congregó a más de un millón de personas.,"Durante el Noche del Fuego en el año 2015, se dispararon miles de kilogramos de pólvora, específicamente 2450 kg.",ok,,0.5098,0.4314,0.5367,0.3365,0.4322,microsoft/deberta-xlarge-mnli,en,True
8,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,"¿Quién decidió llevar un ramo a la virgen a mediados de siglo, originando la actual Ofrenda?","Se comenta que la decisión de llevar por primera vez un ramo a la virgen fue tomada por una Fallera Mayor de la Falla Periodista Azzati. Esta iniciativa sentó el precedente para que al año siguiente su comisión y, posteriormente, otras agrupaciones falleras repitieran la acción de forma voluntaria.","Se comenta que fue una Fallera Mayor de la Falla Periodista Azzati quien decidió llevar un ramo a la virgen a mediados de siglo, lo cual originó la actual Ofrenda.",ok,,0.4375,0.3438,0.4121,0.1966,0.2988,microsoft/deberta-xlarge-mnli,en,True
9,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,¿Cuáles son las cuatro personas que se reunieron a principios de los años 70 y originaron los premios a las fallas mejor iluminadas?,"Las cuatro personas que originaron los premios a las fallas mejor iluminadas fueron D. Eugenio Gares Cardona, D. Vicente Muñoz Quiles, D. José Carrilero Brunet y D. Francisco Castro Sancha. Lo que comenzó como un encuentro informal entre ellos en el casino Monte Picayo sentó las bases de estos reconocidos galardones.","Las cuatro personas que se reunieron a principios de los años 70 y originaron los premios a las fallas mejor iluminadas fueron:

1. D. Eugenio Gares Cardona (oficial de administración de justicia)
2. D. Vicente Muñoz Quiles (locutor radiofónico)
3. D. José Carrilero Brunet (Departamento mercadería de G.T.E Sylvania)
4. D. Francisco Castro Sancha (delegado zona levante de G.T.E Sylvania)",ok,,0.551,0.5306,0.2774,0.4178,0.3467,microsoft/deberta-xlarge-mnli,en,True
10,all_off,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\runs\ragas\comparisons\bm25rerun_es\checkpoints\all_off.json,C:\Users\ignacio.diag045\repos\localOllamaRAG\research\evaluation\datasets\local\dataset_eval_es.json,es,¿Por qué no se plantaron los monumentos falleros en el año 1886?,Los monumentos falleros no se plantaron en 1886 porque los falleros se negaron a pagar la tasa de 60 pesetas que se exigía como canon. Este impuesto se cobraba desde 1851 por permitir plantar los catafalcos en las calles.,La primera vez que se menciona que los monumentos falleros no se plantaron fue en 1886 debido a que los falleros se negaron a pagar la tasa de 60 pesetas que se cobraba como canon desde 1851 por plantar los catafalcos en las calles.,ok,,0.8116,0.7536,0.6277,0.6005,0.6155,microsoft/deberta-xlarge-mnli,en,True
